entity_a,entity_b,similarity,guard_reason,decision
openai,nativeedge,0.4022,GUARD_PASS,REJECT_THRESHOLD
openai,microsoft,0.3411,GUARD_PASS,REJECT_THRESHOLD
openai,nvidia,0.3402,GUARD_PASS,REJECT_THRESHOLD
openai,servicenow,0.3384,GUARD_PASS,REJECT_THRESHOLD
openai,synopsys,0.3153,GUARD_PASS,REJECT_THRESHOLD
openai,h2oai,0.3146,GUARD_PASS,REJECT_THRESHOLD
openai,chatgpt,0.3073,GUARD_PASS,REJECT_THRESHOLD
openai,accenture,0.2846,GUARD_PASS,REJECT_THRESHOLD
openai,google cloud,0.2726,GUARD_PASS,REJECT_THRESHOLD
chatgpt,synopsys,0.3168,GUARD_PASS,REJECT_THRESHOLD
chatgpt,nativeedge,0.3099,GUARD_PASS,REJECT_THRESHOLD
chatgpt,hpe,0.2914,GUARD_PASS,REJECT_THRESHOLD
chatgpt,google cloud,0.2908,GUARD_PASS,REJECT_THRESHOLD
chatgpt,servicenow,0.2875,GUARD_PASS,REJECT_THRESHOLD
chatgpt,accenture,0.2838,GUARD_PASS,REJECT_THRESHOLD
chatgpt,microsoft,0.2731,GUARD_PASS,REJECT_THRESHOLD
chatgpt,samsung,0.27,GUARD_PASS,REJECT_THRESHOLD
samsung,dell,0.5515,GUARD_PASS,REJECT_THRESHOLD
samsung,microsoft,0.4457,GUARD_PASS,REJECT_THRESHOLD
samsung,nvidia,0.4284,GUARD_PASS,REJECT_THRESHOLD
samsung,google cloud,0.387,GUARD_PASS,REJECT_THRESHOLD
samsung,keysight,0.3773,GUARD_PASS,REJECT_THRESHOLD
samsung,white house,0.3552,GUARD_PASS,REJECT_THRESHOLD
samsung,sensor oled,0.3533,GUARD_PASS,REJECT_THRESHOLD
samsung,qualcomm,0.3476,GUARD_PASS,REJECT_THRESHOLD
samsung,meta,0.3118,GUARD_PASS,REJECT_THRESHOLD
sensor oled,hpe,0.2488,GUARD_PASS,REJECT_THRESHOLD
sensor oled,nvidia,0.2463,GUARD_PASS,REJECT_THRESHOLD
sensor oled,dell,0.2269,GUARD_PASS,REJECT_THRESHOLD
sensor oled,microsoft,0.2256,GUARD_PASS,REJECT_THRESHOLD
sensor oled,google cloud,0.1914,GUARD_PASS,REJECT_THRESHOLD
sensor oled,iot accelerator,0.1893,GUARD_PASS,REJECT_THRESHOLD
sensor oled,keysight,0.1856,GUARD_PASS,REJECT_THRESHOLD
deloitte,associated press,0.3674,GUARD_PASS,REJECT_THRESHOLD
deloitte,servicenow,0.3148,GUARD_PASS,REJECT_THRESHOLD
deloitte,hpe,0.306,GUARD_PASS,REJECT_THRESHOLD
deloitte,synopsys,0.2939,GUARD_PASS,REJECT_THRESHOLD
deloitte,microsoft,0.2892,GUARD_PASS,REJECT_THRESHOLD
deloitte,thales,0.2736,GUARD_PASS,REJECT_THRESHOLD
deloitte,white house,0.2728,GUARD_PASS,REJECT_THRESHOLD
deloitte,accenture,0.2585,GUARD_PASS,REJECT_THRESHOLD
deloitte,aeris,0.2491,GUARD_PASS,REJECT_THRESHOLD
servicenow,google cloud,0.3741,GUARD_PASS,REJECT_THRESHOLD
servicenow,microsoft,0.3336,GUARD_PASS,REJECT_THRESHOLD
servicenow,now assist,0.3188,GUARD_PASS,REJECT_THRESHOLD
servicenow,synopsys,0.3088,GUARD_PASS,REJECT_THRESHOLD
servicenow,nativeedge,0.305,GUARD_PASS,REJECT_THRESHOLD
servicenow,aeris,0.2946,GUARD_PASS,REJECT_THRESHOLD
servicenow,keysight,0.2939,GUARD_PASS,REJECT_THRESHOLD
dell,nvidia,0.5153,GUARD_PASS,REJECT_THRESHOLD
dell,qualcomm,0.5134,GUARD_PASS,REJECT_THRESHOLD
