id,group,difficulty,question,reference_answer,reference_evidence,evidence_row_ids_0based,evidence_urls_json,expected_hops,seed_entities,required_relations,adversarial_dimension,gold_reasoning,scoring_notes,source_scope
G5000-01,multi-hop,hard,"Reconstruct the Aeris–Ericsson IoT transaction across the available reports: which Ericsson businesses moved to Aeris, and what scale of IoT connectivity was attributed to the resulting Aeris footprint?","Ericsson's IoT Accelerator and Connected Vehicle Cloud businesses, together with related assets, were to be transferred/acquired by Aeris. A later report says the acquired technologies support more than 100 million IoT devices for 9,000 enterprises across 190 countries.",row 33 (2022-12-07 13:45:00): Aeris to Acquire IoT Business from Ericsson | row 1746 (2023-01-10 06:19:00): Aeris to acquire IoT business from Ericsson | row 935 (2023-01-18 22:37:00): A Leap in Connectivity: Aeris Acquires Technologies from Ericsson to Support Cellular IoT,"[33, 1746, 935]","[""https://www.benzinga.com/pressreleases/22/12/b29992210/aeris-to-acquire-iot-business-from-ericsson"", ""https://electricenergyonline.com/article/energy/category/mergers-acquisitions/58/998465/aeris-to-acquire-iot-business-from-ericsson.html"", ""https://www.iotevolutionworld.com/iot/articles/454653-leap-connectivity-aeris-acquires-technologies-from-ericsson-support.htm""]",3,"[""Aeris"", ""Ericsson"", ""IoT Accelerator"", ""Connected Vehicle Cloud""]","[""ACQUIRED"", ""TRANSFERRED_TO"", ""SUPPORTS""]",Temporal state transition + cross-document scale aggregation,"Link the announcement/transfer language in the earlier reports to the later acquired-state report, then aggregate the scale figures.",Full credit requires both asset names and all three scale figures; do not treat the three reports as three separate acquisitions.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-02,cross-doc,hard,"Did the first two Aeris/Ericsson reports describe a completed acquisition or a planned transfer, and what later evidence changes the event state?","The first reports describe a planned transaction: Aeris was to acquire Ericsson's IoT Accelerator and Connected Vehicle Cloud businesses/assets. The later January 18 report uses completed-state language ('Aeris has acquired'), indicating the event had progressed from planned transfer to acquired technologies.",row 33 (2022-12-07 13:45:00): Aeris to Acquire IoT Business from Ericsson | row 1746 (2023-01-10 06:19:00): Aeris to acquire IoT business from Ericsson | row 935 (2023-01-18 22:37:00): A Leap in Connectivity: Aeris Acquires Technologies from Ericsson to Support Cellular IoT,"[33, 1746, 935]","[""https://www.benzinga.com/pressreleases/22/12/b29992210/aeris-to-acquire-iot-business-from-ericsson"", ""https://electricenergyonline.com/article/energy/category/mergers-acquisitions/58/998465/aeris-to-acquire-iot-business-from-ericsson.html"", ""https://www.iotevolutionworld.com/iot/articles/454653-leap-connectivity-aeris-acquires-technologies-from-ericsson-support.htm""]",2,"[""Aeris"", ""Ericsson""]","[""PLANNED_ACQUISITION"", ""ACQUIRED""]",Temporal event-state disambiguation,Compare verbs and dates across the three documents; infer only the state progression explicitly supported by wording.,"Penalize answers that say the acquisition was already completed on Dec. 7 solely because the title says ""to Acquire"".",ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-03,factoid,hard,"After the Aeris–Ericsson IoT deal progressed, how many IoT devices, enterprises, and countries were cited in the later connectivity report?","More than 100 million IoT devices, 9,000 enterprises, and 190 countries.",row 935 (2023-01-18 22:37:00): A Leap in Connectivity: Aeris Acquires Technologies from Ericsson to Support Cellular IoT,[935],"[""https://www.iotevolutionworld.com/iot/articles/454653-leap-connectivity-aeris-acquires-technologies-from-ericsson-support.htm""]",1,"[""Aeris"", ""Ericsson""]","[""SUPPORTS""]",Numeric precision; hallucination trap,Read all three scale values from the same evidence record.,All three numbers must be correct; no partial invention.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-04,cross-doc,hard,"Which two named Ericsson IoT businesses recur across multiple reports of the Aeris transaction, and why should GraphRAG collapse those mentions into one event rather than separate deals?","The recurring businesses are Ericsson IoT Accelerator and Connected Vehicle Cloud. The reports describe the same Aeris–Ericsson transfer/acquisition across different dates/sources, so they should resolve to one underlying transaction with evolving status, not multiple independent deals.",row 33 (2022-12-07 13:45:00): Aeris to Acquire IoT Business from Ericsson | row 1746 (2023-01-10 06:19:00): Aeris to acquire IoT business from Ericsson | row 935 (2023-01-18 22:37:00): A Leap in Connectivity: Aeris Acquires Technologies from Ericsson to Support Cellular IoT,"[33, 1746, 935]","[""https://www.benzinga.com/pressreleases/22/12/b29992210/aeris-to-acquire-iot-business-from-ericsson"", ""https://electricenergyonline.com/article/energy/category/mergers-acquisitions/58/998465/aeris-to-acquire-iot-business-from-ericsson.html"", ""https://www.iotevolutionworld.com/iot/articles/454653-leap-connectivity-aeris-acquires-technologies-from-ericsson-support.htm""]",2,"[""Aeris"", ""Ericsson"", ""IoT Accelerator"", ""Connected Vehicle Cloud""]","[""ACQUIRED""]",Deduplication + entity/event resolution,Identify repeated assets and connect the reports as syndicated/follow-up coverage of one transaction.,Full credit requires explicit event deduplication reasoning.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-05,multi-hop,hard,"Starting from Ericsson, follow the graph to the acquirer and then to the reported IoT reach. What path and scale should be returned?","Ericsson -> (IoT Accelerator and Connected Vehicle Cloud transferred/acquired by) Aeris -> supports/connects more than 100 million IoT devices for 9,000 enterprises across 190 countries.",row 33 (2022-12-07 13:45:00): Aeris to Acquire IoT Business from Ericsson | row 935 (2023-01-18 22:37:00): A Leap in Connectivity: Aeris Acquires Technologies from Ericsson to Support Cellular IoT,"[33, 935]","[""https://www.benzinga.com/pressreleases/22/12/b29992210/aeris-to-acquire-iot-business-from-ericsson"", ""https://www.iotevolutionworld.com/iot/articles/454653-leap-connectivity-aeris-acquires-technologies-from-ericsson-support.htm""]",3,"[""Ericsson""]","[""TRANSFERRED_TO"", ""ACQUIRED"", ""SUPPORTS""]",Multi-hop path reconstruction,The answer must traverse from seller/assets to acquirer and then to deployment scale.,Do not stop at naming Aeris; include the scale endpoint.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-06,multi-hop,hard,"Trace ServiceNow's generative-AI product/partner evolution from May through July 2023: what partnership began in May, what customer-facing feature appeared in June, and what enterprise adoption program appeared in late July?","In May, ServiceNow partnered with NVIDIA to build enterprise-grade generative AI for workflow automation. In June, ServiceNow introduced Now Assist for Virtual Agent for conversational self-service. In late July, ServiceNow, NVIDIA, and Accenture launched AI Lighthouse to accelerate enterprise generative-AI adoption.",row 746 (2023-05-17 18:58:00): ServiceNow and NVIDIA Announce Partnership to Build Generative AI Across Enterprise IT | row 1742 (2023-06-13 13:50:00): ServiceNow Unveils Generative AI Solution With Real-Time Conversational Experiences For Self-Service | row 1726 (2023-06-13 18:12:00): ServiceNow extends its AI capabilities with Now Assist for Virtual Agent | row 648 (2023-07-27 18:43:00): ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises,"[746, 1742, 1726, 648]","[""https://www.tmcnet.com/usubmit/2023/05/17/9816504.htm"", ""https://www.benzinga.com/markets/equities/23/06/32831350/servicenow-unveils-generative-ai-solution-with-real-time-conversational-experiences-for-self-ser"", ""https://siliconangle.com/2023/06/13/servicenow-extends-ai-capabilities-now-assist-virtual-agent/"", ""https://www.datanami.com/this-just-in/servicenow-nvidia-and-accenture-partner-to-accelerate-generative-ai-adoption-for-enterprises/""]",4,"[""ServiceNow"", ""NVIDIA"", ""Accenture"", ""Now Assist for Virtual Agent"", ""AI Lighthouse""]","[""PARTNERED_WITH"", ""DEVELOPED"", ""LAUNCHED""]",Temporal multi-hop product/partnership evolution,Order events by date and distinguish product capability from partner program.,"Full credit requires May partnership, June Virtual Agent, and July AI Lighthouse.",ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-07,cross-doc,hard,How did ServiceNow's July generative-AI expansion differ between its platform features and its ecosystem program with NVIDIA and Accenture?,"ServiceNow expanded the Now Assist feature set with case summarization and text-to-code inside its workflow platform, while separately joining NVIDIA and Accenture to launch AI Lighthouse, an enterprise generative-AI adoption program.",row 1435 (2023-07-26 20:30:00): ServiceNow Expands Generative AI Capabilities With Case Summarization and Text-to-Code to Drive Speed Productivity and Value | row 648 (2023-07-27 18:43:00): ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises,"[1435, 648]","[""https://technews.tmcnet.com/news/2023/07/26/9854808.htm"", ""https://www.datanami.com/this-just-in/servicenow-nvidia-and-accenture-partner-to-accelerate-generative-ai-adoption-for-enterprises/""]",2,"[""ServiceNow"", ""Now Assist"", ""NVIDIA"", ""Accenture"", ""AI Lighthouse""]","[""DEVELOPED"", ""PARTNERED_WITH"", ""LAUNCHED""]",Product-vs-program relation disambiguation,Keep internal product features separate from external partnership/program edges.,Penalize answers that claim Accenture co-developed case summarization or text-to-code.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-08,multi-hop,hard,"Which external organizations are connected to ServiceNow's generative-AI efforts in the selected data, and what distinct role does each play?",NVIDIA is ServiceNow's generative-AI technology partner and later co-launch partner for AI Lighthouse; Accenture joins ServiceNow and NVIDIA in AI Lighthouse; Deloitte later expands its alliance with ServiceNow to integrate Now Assist generative-AI capabilities with next-generation managed services.,row 746 (2023-05-17 18:58:00): ServiceNow and NVIDIA Announce Partnership to Build Generative AI Across Enterprise IT | row 648 (2023-07-27 18:43:00): ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises | row 411 (2023-10-26 01:46:00): Deloitte and ServiceNow Expand Alliance to Integrate Now Assist Generative AI Capabilities With Next-Generation Managed Services,"[746, 648, 411]","[""https://www.tmcnet.com/usubmit/2023/05/17/9816504.htm"", ""https://www.datanami.com/this-just-in/servicenow-nvidia-and-accenture-partner-to-accelerate-generative-ai-adoption-for-enterprises/"", ""https://www.businesswire.com/news/home/20231025715145/en/Deloitte-and-ServiceNow-Expand-Alliance-to-Integrate-Now-Assist-Generative-AI-Capabilities-With-Next-Generation-Managed-Services""]",3,"[""ServiceNow"", ""NVIDIA"", ""Accenture"", ""Deloitte""]","[""PARTNERED_WITH"", ""LAUNCHED"", ""INTEGRATED_WITH""]",Role disambiguation across partners,Aggregate partner edges across time while keeping each partner role distinct.,All three external organizations and their distinct roles are required.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-09,cross-doc,hard,Two June 13 reports describe Now Assist for Virtual Agent. What should a deduplicated graph store as the core event and capability?,"A single ServiceNow product event: Now Assist for Virtual Agent extends ServiceNow's generative-AI capabilities for conversational/self-service experiences, using the ServiceNow Generative AI Controller and returning information in formats such as text, links, images, video, or relevant knowledge-base excerpts.",row 1742 (2023-06-13 13:50:00): ServiceNow Unveils Generative AI Solution With Real-Time Conversational Experiences For Self-Service | row 1726 (2023-06-13 18:12:00): ServiceNow extends its AI capabilities with Now Assist for Virtual Agent,"[1742, 1726]","[""https://www.benzinga.com/markets/equities/23/06/32831350/servicenow-unveils-generative-ai-solution-with-real-time-conversational-experiences-for-self-ser"", ""https://siliconangle.com/2023/06/13/servicenow-extends-ai-capabilities-now-assist-virtual-agent/""]",2,"[""ServiceNow"", ""Now Assist for Virtual Agent""]","[""DEVELOPED""]",Syndicated/duplicate event collapse,Merge the two same-day descriptions into one canonical product event and union non-conflicting details.,Penalize double-counting as two separate product launches.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-10,multi-hop,hard,What sequence shows ServiceNow moving from domain-specific generative-AI exploration to concrete workflow features?,"At Knowledge 2023, ServiceNow emphasized domain-specific generative-AI/LLM use cases; in June it introduced Now Assist for Virtual Agent; by July it expanded Now Assist with case summarization and text-to-code across workflow offerings.",row 752 (2023-05-18 00:32:00): Knowledge 2023 - ServiceNow looks beyond general purpose generative AI to domain-specific use cases | row 1742 (2023-06-13 13:50:00): ServiceNow Unveils Generative AI Solution With Real-Time Conversational Experiences For Self-Service | row 1435 (2023-07-26 20:30:00): ServiceNow Expands Generative AI Capabilities With Case Summarization and Text-to-Code to Drive Speed Productivity and Value,"[752, 1742, 1435]","[""https://diginomica.com/knowledge-2023-servicenow-looks-beyond-general-purpose-generative-ai-domain-specific-use-cases"", ""https://www.benzinga.com/markets/equities/23/06/32831350/servicenow-unveils-generative-ai-solution-with-real-time-conversational-experiences-for-self-ser"", ""https://technews.tmcnet.com/news/2023/07/26/9854808.htm""]",3,"[""ServiceNow"", ""LLM"", ""Now Assist for Virtual Agent"", ""Now Assist""]","[""EXPLORED"", ""DEVELOPED"", ""EXPANDED""]",Temporal product maturation,Connect strategy -> product -> feature expansion.,Answers should preserve chronology and not reverse the feature sequence.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
