article_id,title,published_date,author,tags,text,row_id
41c2ae7d64e8215625d7,HPE expands strategic enterprise partnership with Amazon in Global Expansion,2022-01-01 09:47:00,Antonio Neri (Contributor),"hpe, amazon, tech, innovation","HPE led by CEO Antonio Neri officially announced today that it expands strategic enterprise partnership with Amazon. The initiative leverages HPE's proprietary GreenLake and Amazon's cutting-edge AWS to transform Hybrid Cloud & SASE and E-commerce & Cloud. Both organizations confirmed full compliance with industry cybersecurity standards and cloud scalability benchmarks. According to executives, this collaboration establishes a new milestone for enterprise transformation in 2022.",0
4a970269787ca06f3fa6,ServiceNow announces major technological breakthrough in Intel in Global Expansion,2022-01-01 12:38:00,Bill McDermott (Contributor),"servicenow, intel, tech, innovation","ServiceNow led by CEO Bill McDermott officially announced today that it announces major technological breakthrough in Intel. The initiative leverages ServiceNow's proprietary Now Platform and Intel's cutting-edge Gaudi3 to transform Enterprise Workflow and Chip Manufacturing. Both organizations confirmed full compliance with industry cybersecurity standards and cloud scalability benchmarks. According to executives, this collaboration establishes a new milestone for enterprise transformation in 2022.",1
bf5b89e0f1e1cd1ae92f,Keysight appoints veteran industry leader to drive growth at Amazon in Global Expansion,2022-01-01 16:47:00,Satish Dhanasekaran (Contributor),"keysight, amazon, tech, innovation","Keysight led by CEO Satish Dhanasekaran officially announced today that it appoints veteran industry leader to drive growth at Amazon. The initiative leverages Keysight's proprietary OpenTAP and Amazon's cutting-edge AWS to transform Electronic Test and E-commerce & Cloud. Both organizations confirmed full compliance with industry cybersecurity standards and cloud scalability benchmarks. According to executives, this collaboration establishes a new milestone for enterprise transformation in 2022.",2
704108d9f45984750834,Oracle expands strategic enterprise partnership with Databricks in Global Expansion,2022-01-01 20:07:00,Safra Catz (Contributor),"oracle, databricks, tech, innovation","Oracle led by CEO Safra Catz officially announced today that it expands strategic enterprise partnership with Databricks. The initiative leverages Oracle's proprietary OCI and Databricks's cutting-edge Unity Catalog to transform Cloud & Database and Data Intelligence. Both organizations confirmed full compliance with industry cybersecurity standards and cloud scalability benchmarks. According to executives, this collaboration establishes a new milestone for enterprise transformation in 2022.",3
09ecb3fcaf223707a0ef,Qualcomm expands strategic enterprise partnership with OpenAI in Global Expansion,2022-01-01 23:05:00,Cristiano Amon (Contributor),"qualcomm, openai, tech, innovation","Qualcomm led by CEO Cristiano Amon officially announced today that it expands strategic enterprise partnership with OpenAI. The initiative leverages Qualcomm's proprietary Snapdragon and OpenAI's cutting-edge ChatGPT to transform Wireless Tech and Artificial Intelligence. Both organizations confirmed full compliance with industry cybersecurity standards and cloud scalability benchmarks. According to executives, this collaboration establishes a new milestone for enterprise transformation in 2022.",4
82101622eb211ea2a203,AMD deploys high-performance infrastructure using Intel in Global Expansion,2022-01-02 03:08:00,Lisa Su (Contributor),"amd, intel, tech, innovation","AMD led by CEO Lisa Su officially announced today that it deploys high-performance infrastructure using Intel. The initiative leverages AMD's proprietary MI300X and Intel's cutting-edge Gaudi3 to transform Semiconductors and Chip Manufacturing. Both organizations confirmed full compliance with industry cybersecurity standards and cloud scalability benchmarks. According to executives, this collaboration establishes a new milestone for enterprise transformation in 2022.",5
28ba6868cd049f750a5c,Microsoft announces major technological breakthrough in Databricks in Global Expansion,2022-01-02 06:45:00,Satya Nadella (Contributor),"microsoft, databricks, tech, innovation","Microsoft led by CEO Satya Nadella officially announced today that it announces major technological breakthrough in Databricks. The initiative leverages Microsoft's proprietary Azure and Databricks's cutting-edge Unity Catalog to transform Cloud Computing and Data Intelligence. Both organizations confirmed full compliance with industry cybersecurity standards and cloud scalability benchmarks. According to executives, this collaboration establishes a new milestone for enterprise transformation in 2022.",6
c010c09b5d995a02f67a,HPE deploys high-performance infrastructure using Samsung in Global Expansion,2022-01-02 09:56:00,Antonio Neri (Contributor),"hpe, samsung, tech, innovation","HPE led by CEO Antonio Neri officially announced today that it deploys high-performance infrastructure using Samsung. The initiative leverages HPE's proprietary GreenLake and Samsung's cutting-edge Sensor OLED to transform Hybrid Cloud & SASE and Electronics & Display. Both organizations confirmed full compliance with industry cybersecurity standards and cloud scalability benchmarks. According to executives, this collaboration establishes a new milestone for enterprise transformation in 2022.",7
4e193d6d925ba5f12031,Intel deploys high-performance infrastructure using Thales in Global Expansion,2022-01-02 13:17:00,Pat Gelsinger (Contributor),"intel, thales, tech, innovation","Intel led by CEO Pat Gelsinger officially announced today that it deploys high-performance infrastructure using Thales. The initiative leverages Intel's proprietary Gaudi3 and Thales's cutting-edge Cybersecurity Suite to transform Chip Manufacturing and Aerospace & Defense. Both organizations confirmed full compliance with industry cybersecurity standards and cloud scalability benchmarks. According to executives, this collaboration establishes a new milestone for enterprise transformation in 2022.",8
a7064634ea0d36dc147b,Salesforce expands strategic enterprise partnership with IBM in Global Expansion,2022-01-02 17:18:00,Marc Benioff (Contributor),"salesforce, ibm, tech, innovation","Salesforce led by CEO Marc Benioff officially announced today that it expands strategic enterprise partnership with IBM. The initiative leverages Salesforce's proprietary Einstein 1 and IBM's cutting-edge watsonx to transform CRM & AI and Hybrid Cloud & Enterprise AI. Both organizations confirmed full compliance with industry cybersecurity standards and cloud scalability benchmarks. According to executives, this collaboration establishes a new milestone for enterprise transformation in 2022.",9
bbef5d7379a8ccc71d39,Salesforce appoints veteran industry leader to drive growth at NVIDIA in Global Expansion,2022-01-02 20:27:00,Marc Benioff (Contributor),"salesforce, nvidia, tech, innovation","Salesforce led by CEO Marc Benioff officially announced today that it appoints veteran industry leader to drive growth at NVIDIA. The initiative leverages Salesforce's proprietary Einstein 1 and NVIDIA's cutting-edge H100 GPU to transform CRM & AI and Accelerated Computing. Both organizations confirmed full compliance with industry cybersecurity standards and cloud scalability benchmarks. According to executives, this collaboration establishes a new milestone for enterprise transformation in 2022.",10
049e4776a9967c59ef63,Deloitte announces major technological breakthrough in ServiceNow in Global Expansion,2022-01-02 23:43:00,Joe Ucuzoglu (Contributor),"deloitte, servicenow, tech, innovation","Deloitte led by CEO Joe Ucuzoglu officially announced today that it announces major technological breakthrough in ServiceNow. The initiative leverages Deloitte's proprietary Omnia and ServiceNow's cutting-edge Now Platform to transform Advisory Services and Enterprise Workflow. Both organizations confirmed full compliance with industry cybersecurity standards and cloud scalability benchmarks. According to executives, this collaboration establishes a new milestone for enterprise transformation in 2022.",11
1f3dad14248dffe7b49f,Synopsys expands strategic enterprise partnership with Deloitte in Global Expansion,2022-01-03 03:05:00,Sassine Ghazi (Contributor),"synopsys, deloitte, tech, innovation","Synopsys led by CEO Sassine Ghazi officially announced today that it expands strategic enterprise partnership with Deloitte. The initiative leverages Synopsys's proprietary DesignWare and Deloitte's cutting-edge Omnia to transform Electronic Design and Advisory Services. Both organizations confirmed full compliance with industry cybersecurity standards and cloud scalability benchmarks. According to executives, this collaboration establishes a new milestone for enterprise transformation in 2022.",12
41c4bcacc8ec187691be,Aeris completes multi-million dollar acquisition of Amazon in Global Expansion,2022-01-03 07:24:00,Marc Jones (Contributor),"aeris, amazon, tech, innovation","Aeris led by CEO Marc Jones officially announced today that it completes multi-million dollar acquisition of Amazon. The initiative leverages Aeris's proprietary Aeris Mobility and Amazon's cutting-edge AWS to transform IoT Platform and E-commerce & Cloud. Both organizations confirmed full compliance with industry cybersecurity standards and cloud scalability benchmarks. According to executives, this collaboration establishes a new milestone for enterprise transformation in 2022.",13
6da8ea5f67bb3e2c9163,Ericsson completes multi-million dollar acquisition of Dell in Global Expansion,2022-01-03 10:51:00,Borje Ekholm (Contributor),"ericsson, dell, tech, innovation","Ericsson led by CEO Borje Ekholm officially announced today that it completes multi-million dollar acquisition of Dell. The initiative leverages Ericsson's proprietary 5G Core and Dell's cutting-edge NativeEdge to transform Telecommunications and Edge & Infrastructure. Both organizations confirmed full compliance with industry cybersecurity standards and cloud scalability benchmarks. According to executives, this collaboration establishes a new milestone for enterprise transformation in 2022.",14
d92b075f76cfe9660071,OpenAI leads next-generation venture round for Keysight in Global Expansion,2022-01-03 14:04:00,Sam Altman (Contributor),"openai, keysight, tech, innovation","OpenAI led by CEO Sam Altman officially announced today that it leads next-generation venture round for Keysight. The initiative leverages OpenAI's proprietary ChatGPT and Keysight's cutting-edge OpenTAP to transform Artificial Intelligence and Electronic Test. Both organizations confirmed full compliance with industry cybersecurity standards and cloud scalability benchmarks. According to executives, this collaboration establishes a new milestone for enterprise transformation in 2022.",15
e28ac91ac8b91a8158d0,Amazon leads next-generation venture round for Cisco in Global Expansion,2022-01-03 17:05:00,Andy Jassy (Contributor),"amazon, cisco, tech, innovation","Amazon led by CEO Andy Jassy officially announced today that it leads next-generation venture round for Cisco. The initiative leverages Amazon's proprietary AWS and Cisco's cutting-edge Splunk Platform to transform E-commerce & Cloud and Networking & Security. Both organizations confirmed full compliance with industry cybersecurity standards and cloud scalability benchmarks. According to executives, this collaboration establishes a new milestone for enterprise transformation in 2022.",16
b125b65b107ea26687ed,Databricks establishes foundational joint venture with Accenture in Global Expansion,2022-01-03 21:10:00,Ali Ghodsi (Contributor),"databricks, accenture, tech, innovation","Databricks led by CEO Ali Ghodsi officially announced today that it establishes foundational joint venture with Accenture. The initiative leverages Databricks's proprietary Unity Catalog and Accenture's cutting-edge Cloud First to transform Data Intelligence and Consulting & Services. Both organizations confirmed full compliance with industry cybersecurity standards and cloud scalability benchmarks. According to executives, this collaboration establishes a new milestone for enterprise transformation in 2022.",17
f7ca45dd508d9be0c0b3,Dell establishes foundational joint venture with Oracle in Global Expansion,2022-01-04 00:23:00,Michael Dell (Contributor),"dell, oracle, tech, innovation","Dell led by CEO Michael Dell officially announced today that it establishes foundational joint venture with Oracle. The initiative leverages Dell's proprietary NativeEdge and Oracle's cutting-edge OCI to transform Edge & Infrastructure and Cloud & Database. Both organizations confirmed full compliance with industry cybersecurity standards and cloud scalability benchmarks. According to executives, this collaboration establishes a new milestone for enterprise transformation in 2022.",18
ef9938f1b517dc6e3fb3,H2O.ai appoints veteran industry leader to drive growth at AMD in Global Expansion,2022-01-04 03:34:00,Sri Ambati (Contributor),"h2o.ai, amd, tech, innovation","H2O.ai led by CEO Sri Ambati officially announced today that it appoints veteran industry leader to drive growth at AMD. The initiative leverages H2O.ai's proprietary H2O AI Cloud and AMD's cutting-edge MI300X to transform AutoML and Semiconductors. Both organizations confirmed full compliance with industry cybersecurity standards and cloud scalability benchmarks. According to executives, this collaboration establishes a new milestone for enterprise transformation in 2022.",19
cfe4f1c7327eed359234,OpenAI announces major technological breakthrough in Axis Security in Global Expansion,2022-01-04 07:49:00,Sam Altman (Contributor),"openai, axis security, tech, innovation","OpenAI led by CEO Sam Altman officially announced today that it announces major technological breakthrough in Axis Security. The initiative leverages OpenAI's proprietary ChatGPT and Axis Security's cutting-edge Atmos SASE to transform Artificial Intelligence and Network Security. Both organizations confirmed full compliance with industry cybersecurity standards and cloud scalability benchmarks. According to executives, this collaboration establishes a new milestone for enterprise transformation in 2022.",20
72a583322056dbff08bc,Accenture establishes foundational joint venture with Google in Global Expansion,2022-01-04 10:44:00,Julie Sweet (Contributor),"accenture, google, tech, innovation","Accenture led by CEO Julie Sweet officially announced today that it establishes foundational joint venture with Google. The initiative leverages Accenture's proprietary Cloud First and Google's cutting-edge Google Cloud to transform Consulting & Services and Search & AI. Both organizations confirmed full compliance with industry cybersecurity standards and cloud scalability benchmarks. According to executives, this collaboration establishes a new milestone for enterprise transformation in 2022.",21
