id,group,question,reference_answer,reference_evidence
G5000-01,multi-hop,"Reconstruct the Aeris–Ericsson IoT transaction across the available reports: which Ericsson businesses moved to Aeris, and what scale of IoT connectivity was attributed to the resulting Aeris footprint?","Ericsson's IoT Accelerator and Connected Vehicle Cloud businesses, together with related assets, were to be transferred/acquired by Aeris. A later report says the acquired technologies support more than 100 million IoT devices for 9,000 enterprises across 190 countries.",row 33 (2022-12-07 13:45:00): Aeris to Acquire IoT Business from Ericsson | row 1746 (2023-01-10 06:19:00): Aeris to acquire IoT business from Ericsson | row 935 (2023-01-18 22:37:00): A Leap in Connectivity: Aeris Acquires Technologies from Ericsson to Support Cellular IoT
G5000-02,cross-doc,"Did the first two Aeris/Ericsson reports describe a completed acquisition or a planned transfer, and what later evidence changes the event state?","The first reports describe a planned transaction: Aeris was to acquire Ericsson's IoT Accelerator and Connected Vehicle Cloud businesses/assets. The later January 18 report uses completed-state language ('Aeris has acquired'), indicating the event had progressed from planned transfer to acquired technologies.",row 33 (2022-12-07 13:45:00): Aeris to Acquire IoT Business from Ericsson | row 1746 (2023-01-10 06:19:00): Aeris to acquire IoT business from Ericsson | row 935 (2023-01-18 22:37:00): A Leap in Connectivity: Aeris Acquires Technologies from Ericsson to Support Cellular IoT
G5000-03,factoid,"After the Aeris–Ericsson IoT deal progressed, how many IoT devices, enterprises, and countries were cited in the later connectivity report?","More than 100 million IoT devices, 9,000 enterprises, and 190 countries.",row 935 (2023-01-18 22:37:00): A Leap in Connectivity: Aeris Acquires Technologies from Ericsson to Support Cellular IoT
G5000-04,cross-doc,"Which two named Ericsson IoT businesses recur across multiple reports of the Aeris transaction, and why should GraphRAG collapse those mentions into one event rather than separate deals?","The recurring businesses are Ericsson IoT Accelerator and Connected Vehicle Cloud. The reports describe the same Aeris–Ericsson transfer/acquisition across different dates/sources, so they should resolve to one underlying transaction with evolving status, not multiple independent deals.",row 33 (2022-12-07 13:45:00): Aeris to Acquire IoT Business from Ericsson | row 1746 (2023-01-10 06:19:00): Aeris to acquire IoT business from Ericsson | row 935 (2023-01-18 22:37:00): A Leap in Connectivity: Aeris Acquires Technologies from Ericsson to Support Cellular IoT
G5000-05,multi-hop,"Starting from Ericsson, follow the graph to the acquirer and then to the reported IoT reach. What path and scale should be returned?","Ericsson -> (IoT Accelerator and Connected Vehicle Cloud transferred/acquired by) Aeris -> supports/connects more than 100 million IoT devices for 9,000 enterprises across 190 countries.",row 33 (2022-12-07 13:45:00): Aeris to Acquire IoT Business from Ericsson | row 935 (2023-01-18 22:37:00): A Leap in Connectivity: Aeris Acquires Technologies from Ericsson to Support Cellular IoT
G5000-06,multi-hop,"Trace ServiceNow's generative-AI product/partner evolution from May through July 2023: what partnership began in May, what customer-facing feature appeared in June, and what enterprise adoption program appeared in late July?","In May, ServiceNow partnered with NVIDIA to build enterprise-grade generative AI for workflow automation. In June, ServiceNow introduced Now Assist for Virtual Agent for conversational self-service. In late July, ServiceNow, NVIDIA, and Accenture launched AI Lighthouse to accelerate enterprise generative-AI adoption.",row 746 (2023-05-17 18:58:00): ServiceNow and NVIDIA Announce Partnership to Build Generative AI Across Enterprise IT | row 1742 (2023-06-13 13:50:00): ServiceNow Unveils Generative AI Solution With Real-Time Conversational Experiences For Self-Service | row 1726 (2023-06-13 18:12:00): ServiceNow extends its AI capabilities with Now Assist for Virtual Agent | row 648 (2023-07-27 18:43:00): ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises
G5000-07,cross-doc,How did ServiceNow's July generative-AI expansion differ between its platform features and its ecosystem program with NVIDIA and Accenture?,"ServiceNow expanded the Now Assist feature set with case summarization and text-to-code inside its workflow platform, while separately joining NVIDIA and Accenture to launch AI Lighthouse, an enterprise generative-AI adoption program.",row 1435 (2023-07-26 20:30:00): ServiceNow Expands Generative AI Capabilities With Case Summarization and Text-to-Code to Drive Speed Productivity and Value | row 648 (2023-07-27 18:43:00): ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises
G5000-08,multi-hop,"Which external organizations are connected to ServiceNow's generative-AI efforts in the selected data, and what distinct role does each play?",NVIDIA is ServiceNow's generative-AI technology partner and later co-launch partner for AI Lighthouse; Accenture joins ServiceNow and NVIDIA in AI Lighthouse; Deloitte later expands its alliance with ServiceNow to integrate Now Assist generative-AI capabilities with next-generation managed services.,row 746 (2023-05-17 18:58:00): ServiceNow and NVIDIA Announce Partnership to Build Generative AI Across Enterprise IT | row 648 (2023-07-27 18:43:00): ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises | row 411 (2023-10-26 01:46:00): Deloitte and ServiceNow Expand Alliance to Integrate Now Assist Generative AI Capabilities With Next-Generation Managed Services
G5000-09,cross-doc,Two June 13 reports describe Now Assist for Virtual Agent. What should a deduplicated graph store as the core event and capability?,"A single ServiceNow product event: Now Assist for Virtual Agent extends ServiceNow's generative-AI capabilities for conversational/self-service experiences, using the ServiceNow Generative AI Controller and returning information in formats such as text, links, images, video, or relevant knowledge-base excerpts.",row 1742 (2023-06-13 13:50:00): ServiceNow Unveils Generative AI Solution With Real-Time Conversational Experiences For Self-Service | row 1726 (2023-06-13 18:12:00): ServiceNow extends its AI capabilities with Now Assist for Virtual Agent
G5000-10,multi-hop,What sequence shows ServiceNow moving from domain-specific generative-AI exploration to concrete workflow features?,"At Knowledge 2023, ServiceNow emphasized domain-specific generative-AI/LLM use cases; in June it introduced Now Assist for Virtual Agent; by July it expanded Now Assist with case summarization and text-to-code across workflow offerings.",row 752 (2023-05-18 00:32:00): Knowledge 2023 - ServiceNow looks beyond general purpose generative AI to domain-specific use cases | row 1742 (2023-06-13 13:50:00): ServiceNow Unveils Generative AI Solution With Real-Time Conversational Experiences For Self-Service | row 1435 (2023-07-26 20:30:00): ServiceNow Expands Generative AI Capabilities With Case Summarization and Text-to-Code to Drive Speed Productivity and Value
G5000-11,cross-doc,Compare the May ServiceNow–NVIDIA announcement with the July AI Lighthouse announcement. What new entity and new program appear in July?,"The May announcement is a bilateral ServiceNow–NVIDIA partnership to build enterprise-grade generative AI. In July, Accenture is added and the three companies launch the AI Lighthouse program.",row 746 (2023-05-17 18:58:00): ServiceNow and NVIDIA Announce Partnership to Build Generative AI Across Enterprise IT | row 648 (2023-07-27 18:43:00): ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises
G5000-12,multi-hop,"Starting from Now Assist, connect it to both a July platform enhancement and an October services alliance. What are the two outcomes?","In July, the Now Assist family was expanded with case summarization and text-to-code. In October, Deloitte and ServiceNow expanded their alliance to integrate Now Assist generative-AI capabilities with next-generation managed services.",row 1435 (2023-07-26 20:30:00): ServiceNow Expands Generative AI Capabilities With Case Summarization and Text-to-Code to Drive Speed Productivity and Value | row 411 (2023-10-26 01:46:00): Deloitte and ServiceNow Expand Alliance to Integrate Now Assist Generative AI Capabilities With Next-Generation Managed Services
G5000-13,factoid,"Which three companies launched AI Lighthouse in the selected 5,000-row scope?","ServiceNow, NVIDIA, and Accenture.",row 648 (2023-07-27 18:43:00): ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises
